Sample,Species,Location,Date,Fish #,TL
PH50A,P. caeruleopunctatus ,Port Hacking,2/02/2016,L1,2.75
PH50A,P. caeruleopunctatus ,Port Hacking,2/02/2016,L2,2.456
PH50A,P. caeruleopunctatus ,Port Hacking,2/02/2016,L3 (lower),3.374
PH50A,P. caeruleopunctatus ,Port Hacking,2/02/2016,L4 (upper),2.258
PH50A,P. caeruleopunctatus ,Port Hacking,2/02/2016,L5,2.213
PH50A,P. caeruleopunctatus ,Port Hacking,2/02/2016,L6,2.188
PH50A,P. caeruleopunctatus ,Port Hacking,2/02/2016,L7,1.981
PH50A,P. caeruleopunctatus ,Port Hacking,2/02/2016,L8,2.517
PH50A,P. caeruleopunctatus ,Port Hacking,2/02/2016,L9,2.412
PH100 - 4.12.16 - 12 P. caeruleopunctatus,P. caeruleopunctatus ,Port Hacking,4/12/2016,L1 (lower),6.264
PH100 - 4.12.16 - 12 P. caeruleopunctatus,P. caeruleopunctatus ,Port Hacking,4/12/2016,L2 (middle),3.542
PH100 - 4.12.16 - 12 P. caeruleopunctatus,P. caeruleopunctatus ,Port Hacking,4/12/2016,L3 (upper),4.827
PH100 - 4.12.16 - 12 P. caeruleopunctatus,P. caeruleopunctatus ,Port Hacking,4/12/2016,L4 (middle),5.876
PH100 - 4.12.16 - 12 P. caeruleopunctatus,P. caeruleopunctatus ,Port Hacking,4/12/2016,L5 (lower),3.791
PH100 - 4.12.16 - 12 P. caeruleopunctatus,P. caeruleopunctatus ,Port Hacking,4/12/2016,L6 (lower),5.96
PH100 - 4.12.16 - 12 P. caeruleopunctatus,P. caeruleopunctatus ,Port Hacking,4/12/2016,L7 (middle),4.815
PH100 - 4.12.16 - 12 P. caeruleopunctatus,P. caeruleopunctatus ,Port Hacking,4/12/2016,L8 (upper),3.442
PH100 - 4.12.16 - 12 P. caeruleopunctatus,P. caeruleopunctatus ,Port Hacking,4/12/2016,L9 (middle),5.789
PH100 - 4.12.16 - 12 P. caeruleopunctatus,P. caeruleopunctatus ,Port Hacking,4/12/2016,L10 (lower),8.176
